timestamp,inputs,metrics,ml_probs,final_label
1758732369.8079758,"{""diameter_mm"": 12.0, ""fillet_radius_mm"": 1.5, ""length_mm"": 40.0, ""axial_load_N"": 1000.0, ""bending_load_N"": 200.0, ""bending_distance_mm"": 20.0, ""ultimate_strength_MPa"": 600.0, ""yield_strength_MPa"": 350.0, ""endurance_limit_MPa"": null}","{""area_mm2"": 113.09733554808211, ""sigma_axial_MPa"": 8.841941281331238, ""sigma_bending_MPa"": 23.57851008177041, ""sigma_max_MPa"": 32.42045136310165, ""sigma_von_mises_MPa"": 32.42045136310165, ""safety_factor_yield"": 10.795654757217422, ""safety_factor_ultimate"": 18.506836726658438, ""fatigue_margin"": 10.028760199748962, ""estimated_cycles_to_failure"": 684381146.4540188}",null,Safe
1758732372.0818596,"{""diameter_mm"": 12.0, ""fillet_radius_mm"": 1.5, ""length_mm"": 40.0, ""axial_load_N"": 1000.0, ""bending_load_N"": 200.0, ""bending_distance_mm"": 20.0, ""ultimate_strength_MPa"": 600.0, ""yield_strength_MPa"": 350.0, ""endurance_limit_MPa"": null}","{""area_mm2"": 113.09733554808211, ""sigma_axial_MPa"": 8.841941281331238, ""sigma_bending_MPa"": 23.57851008177041, ""sigma_max_MPa"": 32.42045136310165, ""sigma_von_mises_MPa"": 32.42045136310165, ""safety_factor_yield"": 10.795654757217422, ""safety_factor_ultimate"": 18.506836726658438, ""fatigue_margin"": 10.028760199748962, ""estimated_cycles_to_failure"": 684381146.4540188}",null,Safe
1758732375.100742,"{""diameter_mm"": 12.0, ""fillet_radius_mm"": 1.5, ""length_mm"": 40.0, ""axial_load_N"": 1000.0, ""bending_load_N"": 200.0, ""bending_distance_mm"": 20.0, ""ultimate_strength_MPa"": 600.0, ""yield_strength_MPa"": 350.0, ""endurance_limit_MPa"": 100.0}","{""area_mm2"": 113.09733554808211, ""sigma_axial_MPa"": 8.841941281331238, ""sigma_bending_MPa"": 23.57851008177041, ""sigma_max_MPa"": 32.42045136310165, ""sigma_von_mises_MPa"": 32.42045136310165, ""safety_factor_yield"": 10.795654757217422, ""safety_factor_ultimate"": 18.506836726658438, ""fatigue_margin"": 4.178650083228734, ""estimated_cycles_to_failure"": 684381146.4540188}",null,Safe
1758732376.1797621,"{""diameter_mm"": 12.0, ""fillet_radius_mm"": 1.5, ""length_mm"": 40.0, ""axial_load_N"": 1000.0, ""bending_load_N"": 200.0, ""bending_distance_mm"": 20.0, ""ultimate_strength_MPa"": 600.0, ""yield_strength_MPa"": 350.0, ""endurance_limit_MPa"": 100.0}","{""area_mm2"": 113.09733554808211, ""sigma_axial_MPa"": 8.841941281331238, ""sigma_bending_MPa"": 23.57851008177041, ""sigma_max_MPa"": 32.42045136310165, ""sigma_von_mises_MPa"": 32.42045136310165, ""safety_factor_yield"": 10.795654757217422, ""safety_factor_ultimate"": 18.506836726658438, ""fatigue_margin"": 4.178650083228734, ""estimated_cycles_to_failure"": 684381146.4540188}",null,Safe
1758732403.3139424,"{""diameter_mm"": 12.0, ""fillet_radius_mm"": 1.5, ""length_mm"": 40.0, ""axial_load_N"": 10000.0, ""bending_load_N"": 200.0, ""bending_distance_mm"": 20.0, ""ultimate_strength_MPa"": 600.0, ""yield_strength_MPa"": 350.0, ""endurance_limit_MPa"": 100.0}","{""area_mm2"": 113.09733554808211, ""sigma_axial_MPa"": 88.41941281331238, ""sigma_bending_MPa"": 23.57851008177041, ""sigma_max_MPa"": 111.99792289508278, ""sigma_von_mises_MPa"": 111.99792289508278, ""safety_factor_yield"": 3.125057955983231, ""safety_factor_ultimate"": 5.357242210256968, ""fatigue_margin"": 3.6161500832101368, ""estimated_cycles_to_failure"": 684381146.4540188}",null,Safe
1758732405.7567794,"{""diameter_mm"": 12.0, ""fillet_radius_mm"": 1.5, ""length_mm"": 40.0, ""axial_load_N"": 10000.0, ""bending_load_N"": 200.0, ""bending_distance_mm"": 20.0, ""ultimate_strength_MPa"": 600.0, ""yield_strength_MPa"": 350.0, ""endurance_limit_MPa"": 100.0}","{""area_mm2"": 113.09733554808211, ""sigma_axial_MPa"": 88.41941281331238, ""sigma_bending_MPa"": 23.57851008177041, ""sigma_max_MPa"": 111.99792289508278, ""sigma_von_mises_MPa"": 111.99792289508278, ""safety_factor_yield"": 3.125057955983231, ""safety_factor_ultimate"": 5.357242210256968, ""fatigue_margin"": 3.6161500832101368, ""estimated_cycles_to_failure"": 684381146.4540188}",null,Safe
1758732406.388971,"{""diameter_mm"": 12.0, ""fillet_radius_mm"": 1.5, ""length_mm"": 40.0, ""axial_load_N"": 10000.0, ""bending_load_N"": 200.0, ""bending_distance_mm"": 20.0, ""ultimate_strength_MPa"": 600.0, ""yield_strength_MPa"": 350.0, ""endurance_limit_MPa"": 100.0}","{""area_mm2"": 113.09733554808211, ""sigma_axial_MPa"": 88.41941281331238, ""sigma_bending_MPa"": 23.57851008177041, ""sigma_max_MPa"": 111.99792289508278, ""sigma_von_mises_MPa"": 111.99792289508278, ""safety_factor_yield"": 3.125057955983231, ""safety_factor_ultimate"": 5.357242210256968, ""fatigue_margin"": 3.6161500832101368, ""estimated_cycles_to_failure"": 684381146.4540188}",null,Safe
1758732424.9392295,"{""diameter_mm"": 12.0, ""fillet_radius_mm"": 1.5, ""length_mm"": 40.0, ""axial_load_N"": 70000.0, ""bending_load_N"": 200.0, ""bending_distance_mm"": 20.0, ""ultimate_strength_MPa"": 600.0, ""yield_strength_MPa"": 350.0, ""endurance_limit_MPa"": 100.0}","{""area_mm2"": 113.09733554808211, ""sigma_axial_MPa"": 618.9358896931866, ""sigma_bending_MPa"": 23.57851008177041, ""sigma_max_MPa"": 642.514399774957, ""sigma_von_mises_MPa"": 642.514399774957, ""safety_factor_yield"": 0.5447348730581665, ""safety_factor_ultimate"": 0.9338312109568568, ""fatigue_margin"": 0.0, ""estimated_cycles_to_failure"": 684381146.4540188}",null,Failure
1758732427.5146308,"{""diameter_mm"": 12.0, ""fillet_radius_mm"": 1.5, ""length_mm"": 40.0, ""axial_load_N"": 70000.0, ""bending_load_N"": 200.0, ""bending_distance_mm"": 20.0, ""ultimate_strength_MPa"": 600.0, ""yield_strength_MPa"": 350.0, ""endurance_limit_MPa"": 100.0}","{""area_mm2"": 113.09733554808211, ""sigma_axial_MPa"": 618.9358896931866, ""sigma_bending_MPa"": 23.57851008177041, ""sigma_max_MPa"": 642.514399774957, ""sigma_von_mises_MPa"": 642.514399774957, ""safety_factor_yield"": 0.5447348730581665, ""safety_factor_ultimate"": 0.9338312109568568, ""fatigue_margin"": 0.0, ""estimated_cycles_to_failure"": 684381146.4540188}",null,Failure
1758732440.594502,"{""diameter_mm"": 12.0, ""fillet_radius_mm"": 1.5, ""length_mm"": 40.0, ""axial_load_N"": 50000.0, ""bending_load_N"": 200.0, ""bending_distance_mm"": 20.0, ""ultimate_strength_MPa"": 600.0, ""yield_strength_MPa"": 350.0, ""endurance_limit_MPa"": 100.0}","{""area_mm2"": 113.09733554808211, ""sigma_axial_MPa"": 442.09706406656187, ""sigma_bending_MPa"": 23.57851008177041, ""sigma_max_MPa"": 465.67557414833226, ""sigma_von_mises_MPa"": 465.67557414833226, ""safety_factor_yield"": 0.7515962172578166, ""safety_factor_ultimate"": 1.288450658156257, ""fatigue_margin"": 1.1161500831274818, ""estimated_cycles_to_failure"": 684381146.4540188}",null,Failure
1758732443.27293,"{""diameter_mm"": 12.0, ""fillet_radius_mm"": 1.5, ""length_mm"": 40.0, ""axial_load_N"": 50000.0, ""bending_load_N"": 200.0, ""bending_distance_mm"": 20.0, ""ultimate_strength_MPa"": 600.0, ""yield_strength_MPa"": 350.0, ""endurance_limit_MPa"": 100.0}","{""area_mm2"": 113.09733554808211, ""sigma_axial_MPa"": 442.09706406656187, ""sigma_bending_MPa"": 23.57851008177041, ""sigma_max_MPa"": 465.67557414833226, ""sigma_von_mises_MPa"": 465.67557414833226, ""safety_factor_yield"": 0.7515962172578166, ""safety_factor_ultimate"": 1.288450658156257, ""fatigue_margin"": 1.1161500831274818, ""estimated_cycles_to_failure"": 684381146.4540188}",null,Failure
1758732451.4929469,"{""diameter_mm"": 12.0, ""fillet_radius_mm"": 1.5, ""length_mm"": 40.0, ""axial_load_N"": 20000.0, ""bending_load_N"": 200.0, ""bending_distance_mm"": 20.0, ""ultimate_strength_MPa"": 600.0, ""yield_strength_MPa"": 350.0, ""endurance_limit_MPa"": 100.0}","{""area_mm2"": 113.09733554808211, ""sigma_axial_MPa"": 176.83882562662475, ""sigma_bending_MPa"": 23.57851008177041, ""sigma_max_MPa"": 200.41733570839517, ""sigma_von_mises_MPa"": 200.41733570839517, ""safety_factor_yield"": 1.7463559165735019, ""safety_factor_ultimate"": 2.993752999840289, ""fatigue_margin"": 2.9911500831894733, ""estimated_cycles_to_failure"": 684381146.4540188}",null,Safe
1758732453.500341,"{""diameter_mm"": 12.0, ""fillet_radius_mm"": 1.5, ""length_mm"": 40.0, ""axial_load_N"": 20000.0, ""bending_load_N"": 200.0, ""bending_distance_mm"": 20.0, ""ultimate_strength_MPa"": 600.0, ""yield_strength_MPa"": 350.0, ""endurance_limit_MPa"": 100.0}","{""area_mm2"": 113.09733554808211, ""sigma_axial_MPa"": 176.83882562662475, ""sigma_bending_MPa"": 23.57851008177041, ""sigma_max_MPa"": 200.41733570839517, ""sigma_von_mises_MPa"": 200.41733570839517, ""safety_factor_yield"": 1.7463559165735019, ""safety_factor_ultimate"": 2.993752999840289, ""fatigue_margin"": 2.9911500831894733, ""estimated_cycles_to_failure"": 684381146.4540188}",null,Safe
1758732453.845609,"{""diameter_mm"": 12.0, ""fillet_radius_mm"": 1.5, ""length_mm"": 40.0, ""axial_load_N"": 20000.0, ""bending_load_N"": 200.0, ""bending_distance_mm"": 20.0, ""ultimate_strength_MPa"": 600.0, ""yield_strength_MPa"": 350.0, ""endurance_limit_MPa"": 100.0}","{""area_mm2"": 113.09733554808211, ""sigma_axial_MPa"": 176.83882562662475, ""sigma_bending_MPa"": 23.57851008177041, ""sigma_max_MPa"": 200.41733570839517, ""sigma_von_mises_MPa"": 200.41733570839517, ""safety_factor_yield"": 1.7463559165735019, ""safety_factor_ultimate"": 2.993752999840289, ""fatigue_margin"": 2.9911500831894733, ""estimated_cycles_to_failure"": 684381146.4540188}",null,Safe
1758732462.7918549,"{""diameter_mm"": 12.0, ""fillet_radius_mm"": 1.5, ""length_mm"": 40.0, ""axial_load_N"": 25000.0, ""bending_load_N"": 200.0, ""bending_distance_mm"": 20.0, ""ultimate_strength_MPa"": 600.0, ""yield_strength_MPa"": 350.0, ""endurance_limit_MPa"": 100.0}","{""area_mm2"": 113.09733554808211, ""sigma_axial_MPa"": 221.04853203328094, ""sigma_bending_MPa"": 23.57851008177041, ""sigma_max_MPa"": 244.62704211505135, ""sigma_von_mises_MPa"": 244.62704211505135, ""safety_factor_yield"": 1.4307494256254778, ""safety_factor_ultimate"": 2.4527133010722473, ""fatigue_margin"": 2.678650083179141, ""estimated_cycles_to_failure"": 684381146.4540188}",null,Safe
1758732465.9561677,"{""diameter_mm"": 12.0, ""fillet_radius_mm"": 1.5, ""length_mm"": 40.0, ""axial_load_N"": 25000.0, ""bending_load_N"": 200.0, ""bending_distance_mm"": 20.0, ""ultimate_strength_MPa"": 600.0, ""yield_strength_MPa"": 350.0, ""endurance_limit_MPa"": 100.0}","{""area_mm2"": 113.09733554808211, ""sigma_axial_MPa"": 221.04853203328094, ""sigma_bending_MPa"": 23.57851008177041, ""sigma_max_MPa"": 244.62704211505135, ""sigma_von_mises_MPa"": 244.62704211505135, ""safety_factor_yield"": 1.4307494256254778, ""safety_factor_ultimate"": 2.4527133010722473, ""fatigue_margin"": 2.678650083179141, ""estimated_cycles_to_failure"": 684381146.4540188}",null,Safe
1758732477.5225356,"{""diameter_mm"": 12.0, ""fillet_radius_mm"": 1.5, ""length_mm"": 40.0, ""axial_load_N"": 30000.0, ""bending_load_N"": 200.0, ""bending_distance_mm"": 20.0, ""ultimate_strength_MPa"": 600.0, ""yield_strength_MPa"": 350.0, ""endurance_limit_MPa"": 100.0}","{""area_mm2"": 113.09733554808211, ""sigma_axial_MPa"": 265.2582384399371, ""sigma_bending_MPa"": 23.57851008177041, ""sigma_max_MPa"": 288.8367485217075, ""sigma_von_mises_MPa"": 288.8367485217075, ""safety_factor_yield"": 1.211757166600579, ""safety_factor_ultimate"": 2.077297999886707, ""fatigue_margin"": 2.3661500831688094, ""estimated_cycles_to_failure"": 684381146.4540188}",null,Safe
1758733261.3831325,"{""diameter_mm"": 12.0, ""fillet_radius_mm"": 1.5, ""length_mm"": 40.0, ""axial_load_N"": 10000.0, ""bending_load_N"": 200.0, ""bending_distance_mm"": 20.0, ""ultimate_strength_MPa"": 600.0, ""yield_strength_MPa"": 350.0, ""endurance_limit_MPa"": null}","{""area_mm2"": 113.09733554808211, ""sigma_axial_MPa"": 88.41941281331238, ""sigma_bending_MPa"": 23.57851008177041, ""sigma_max_MPa"": 111.99792289508278, ""sigma_von_mises_MPa"": 111.99792289508278, ""safety_factor_yield"": 3.125057955983231, ""safety_factor_ultimate"": 5.357242210256968, ""fatigue_margin"": 8.678760199704328, ""estimated_cycles_to_failure"": 684381146.4540188}",null,Safe
1758733283.7702677,"{""diameter_mm"": 12.0, ""fillet_radius_mm"": 1.5, ""length_mm"": 40.0, ""axial_load_N"": 10000.0, ""bending_load_N"": 200.0, ""bending_distance_mm"": 20.0, ""ultimate_strength_MPa"": 600.0, ""yield_strength_MPa"": 350.0, ""endurance_limit_MPa"": null}","{""area_mm2"": 113.09733554808211, ""sigma_axial_MPa"": 88.41941281331238, ""sigma_bending_MPa"": 23.57851008177041, ""sigma_max_MPa"": 111.99792289508278, ""sigma_von_mises_MPa"": 111.99792289508278, ""safety_factor_yield"": 3.125057955983231, ""safety_factor_ultimate"": 5.357242210256968, ""fatigue_margin"": 8.678760199704328, ""estimated_cycles_to_failure"": 684381146.4540188}",null,Safe
1758733330.6867034,"{""diameter_mm"": 12.0, ""fillet_radius_mm"": 1.5, ""length_mm"": 40.0, ""axial_load_N"": 30000.0, ""bending_load_N"": 800.0, ""bending_distance_mm"": 20.0, ""ultimate_strength_MPa"": 600.0, ""yield_strength_MPa"": 350.0, ""endurance_limit_MPa"": null}","{""area_mm2"": 113.09733554808211, ""sigma_axial_MPa"": 265.2582384399371, ""sigma_bending_MPa"": 94.31404032708164, ""sigma_max_MPa"": 359.5722787670187, ""sigma_von_mises_MPa"": 359.5722787670187, ""safety_factor_yield"": 0.9733787076111217, ""safety_factor_ultimate"": 1.6686492130476371, ""fatigue_margin"": 1.4196900499464442, ""estimated_cycles_to_failure"": 579496527.6314447}",null,Failure
1758733340.5645027,"{""diameter_mm"": 12.0, ""fillet_radius_mm"": 1.5, ""length_mm"": 40.0, ""axial_load_N"": 30000.0, ""bending_load_N"": 800.0, ""bending_distance_mm"": 20.0, ""ultimate_strength_MPa"": 600.0, ""yield_strength_MPa"": 350.0, ""endurance_limit_MPa"": null}","{""area_mm2"": 113.09733554808211, ""sigma_axial_MPa"": 265.2582384399371, ""sigma_bending_MPa"": 94.31404032708164, ""sigma_max_MPa"": 359.5722787670187, ""sigma_von_mises_MPa"": 359.5722787670187, ""safety_factor_yield"": 0.9733787076111217, ""safety_factor_ultimate"": 1.6686492130476371, ""fatigue_margin"": 1.4196900499464442, ""estimated_cycles_to_failure"": 579496527.6314447}",null,Failure
1758733375.415637,"{""diameter_mm"": 12.0, ""fillet_radius_mm"": 1.5, ""length_mm"": 40.0, ""axial_load_N"": 80000.0, ""bending_load_N"": 800.0, ""bending_distance_mm"": 20.0, ""ultimate_strength_MPa"": 600.0, ""yield_strength_MPa"": 350.0, ""endurance_limit_MPa"": null}","{""area_mm2"": 113.09733554808211, ""sigma_axial_MPa"": 707.355302506499, ""sigma_bending_MPa"": 94.31404032708164, ""sigma_max_MPa"": 801.6693428335807, ""sigma_von_mises_MPa"": 801.6693428335807, ""safety_factor_yield"": 0.4365889791450092, ""safety_factor_ultimate"": 0.748438249962873, ""fatigue_margin"": 0.0, ""estimated_cycles_to_failure"": 579496527.6314447}",null,Failure
1758733384.6482816,"{""diameter_mm"": 12.0, ""fillet_radius_mm"": 1.5, ""length_mm"": 40.0, ""axial_load_N"": 80000.0, ""bending_load_N"": 5000.0, ""bending_distance_mm"": 20.0, ""ultimate_strength_MPa"": 600.0, ""yield_strength_MPa"": 350.0, ""endurance_limit_MPa"": null}","{""area_mm2"": 113.09733554808211, ""sigma_axial_MPa"": 707.355302506499, ""sigma_bending_MPa"": 589.4627520442602, ""sigma_max_MPa"": 1296.8180545507594, ""sigma_von_mises_MPa"": 1296.8180545507594, ""safety_factor_yield"": 0.26989136893299676, ""safety_factor_ultimate"": 0.4626709181708516, ""fatigue_margin"": 0.0, ""estimated_cycles_to_failure"": 465098818.1243635}",null,Failure
1758733390.3014271,"{""diameter_mm"": 12.0, ""fillet_radius_mm"": 1.5, ""length_mm"": 40.0, ""axial_load_N"": 80000.0, ""bending_load_N"": 5000.0, ""bending_distance_mm"": 20.0, ""ultimate_strength_MPa"": 600.0, ""yield_strength_MPa"": 350.0, ""endurance_limit_MPa"": null}","{""area_mm2"": 113.09733554808211, ""sigma_axial_MPa"": 707.355302506499, ""sigma_bending_MPa"": 589.4627520442602, ""sigma_max_MPa"": 1296.8180545507594, ""sigma_von_mises_MPa"": 1296.8180545507594, ""safety_factor_yield"": 0.26989136893299676, ""safety_factor_ultimate"": 0.4626709181708516, ""fatigue_margin"": 0.0, ""estimated_cycles_to_failure"": 465098818.1243635}",null,Failure
1758733550.0206995,"{""diameter_mm"": 12.0, ""fillet_radius_mm"": 1.5, ""length_mm"": 40.0, ""axial_load_N"": 25000.0, ""bending_load_N"": 200.0, ""bending_distance_mm"": 20.0, ""ultimate_strength_MPa"": 600.0, ""yield_strength_MPa"": 350.0, ""endurance_limit_MPa"": null}","{""area_mm2"": 113.09733554808211, ""sigma_axial_MPa"": 221.04853203328094, ""sigma_bending_MPa"": 23.57851008177041, ""sigma_max_MPa"": 244.62704211505135, ""sigma_von_mises_MPa"": 244.62704211505135, ""safety_factor_yield"": 1.4307494256254778, ""safety_factor_ultimate"": 2.4527133010722473, ""fatigue_margin"": 6.428760199629939, ""estimated_cycles_to_failure"": 684381146.4540188}",null,Safe
1758733562.5472054,"{""diameter_mm"": 12.0, ""fillet_radius_mm"": 1.5, ""length_mm"": 40.0, ""axial_load_N"": 25000.0, ""bending_load_N"": 700.0, ""bending_distance_mm"": 20.0, ""ultimate_strength_MPa"": 600.0, ""yield_strength_MPa"": 350.0, ""endurance_limit_MPa"": null}","{""area_mm2"": 113.09733554808211, ""sigma_axial_MPa"": 221.04853203328094, ""sigma_bending_MPa"": 82.52478528619642, ""sigma_max_MPa"": 303.5733173194774, ""sigma_von_mises_MPa"": 303.5733173194774, ""safety_factor_yield"": 1.1529340031901116, ""safety_factor_ultimate"": 1.9764582911830484, ""fatigue_margin"": 1.8367886285213408, ""estimated_cycles_to_failure"": 588857040.0860718}",null,Safe
1758733566.631392,"{""diameter_mm"": 12.0, ""fillet_radius_mm"": 1.5, ""length_mm"": 40.0, ""axial_load_N"": 25000.0, ""bending_load_N"": 700.0, ""bending_distance_mm"": 20.0, ""ultimate_strength_MPa"": 600.0, ""yield_strength_MPa"": 350.0, ""endurance_limit_MPa"": null}","{""area_mm2"": 113.09733554808211, ""sigma_axial_MPa"": 221.04853203328094, ""sigma_bending_MPa"": 82.52478528619642, ""sigma_max_MPa"": 303.5733173194774, ""sigma_von_mises_MPa"": 303.5733173194774, ""safety_factor_yield"": 1.1529340031901116, ""safety_factor_ultimate"": 1.9764582911830484, ""fatigue_margin"": 1.8367886285213408, ""estimated_cycles_to_failure"": 588857040.0860718}",null,Safe
1758733864.1655903,"{""diameter_mm"": 12.0, ""fillet_radius_mm"": 1.5, ""length_mm"": 40.0, ""axial_load_N"": 30000.0, ""bending_load_N"": 200.0, ""bending_distance_mm"": 20.0, ""ultimate_strength_MPa"": 600.0, ""yield_strength_MPa"": 350.0, ""endurance_limit_MPa"": null}","{""area_mm2"": 113.09733554808211, ""sigma_axial_MPa"": 265.2582384399371, ""sigma_bending_MPa"": 23.57851008177041, ""sigma_max_MPa"": 288.8367485217075, ""sigma_von_mises_MPa"": 288.8367485217075, ""safety_factor_yield"": 1.211757166600579, ""safety_factor_ultimate"": 2.077297999886707, ""fatigue_margin"": 5.678760199605143, ""estimated_cycles_to_failure"": 684381146.4540188}",null,Safe
1758734048.6334348,"{""diameter_mm"": 12.0, ""fillet_radius_mm"": 1.5, ""length_mm"": 40.0, ""axial_load_N"": 30000.0, ""bending_load_N"": 200.0, ""bending_distance_mm"": 20.0, ""ultimate_strength_MPa"": 600.0, ""yield_strength_MPa"": 350.0, ""endurance_limit_MPa"": null}","{""area_mm2"": 113.09733554808211, ""sigma_axial_MPa"": 265.2582384399371, ""sigma_bending_MPa"": 23.57851008177041, ""sigma_max_MPa"": 288.8367485217075, ""sigma_von_mises_MPa"": 288.8367485217075, ""safety_factor_yield"": 1.211757166600579, ""safety_factor_ultimate"": 2.077297999886707, ""fatigue_margin"": 5.678760199605143, ""estimated_cycles_to_failure"": 684381146.4540188}",null,Safe
1758734054.6390457,"{""diameter_mm"": 12.0, ""fillet_radius_mm"": 1.5, ""length_mm"": 40.0, ""axial_load_N"": 30000.0, ""bending_load_N"": 800.0, ""bending_distance_mm"": 20.0, ""ultimate_strength_MPa"": 600.0, ""yield_strength_MPa"": 350.0, ""endurance_limit_MPa"": null}","{""area_mm2"": 113.09733554808211, ""sigma_axial_MPa"": 265.2582384399371, ""sigma_bending_MPa"": 94.31404032708164, ""sigma_max_MPa"": 359.5722787670187, ""sigma_von_mises_MPa"": 359.5722787670187, ""safety_factor_yield"": 0.9733787076111217, ""safety_factor_ultimate"": 1.6686492130476371, ""fatigue_margin"": 1.4196900499464442, ""estimated_cycles_to_failure"": 579496527.6314447}",null,Failure
1758734057.6631958,"{""diameter_mm"": 12.0, ""fillet_radius_mm"": 1.5, ""length_mm"": 40.0, ""axial_load_N"": 30000.0, ""bending_load_N"": 800.0, ""bending_distance_mm"": 20.0, ""ultimate_strength_MPa"": 600.0, ""yield_strength_MPa"": 350.0, ""endurance_limit_MPa"": null}","{""area_mm2"": 113.09733554808211, ""sigma_axial_MPa"": 265.2582384399371, ""sigma_bending_MPa"": 94.31404032708164, ""sigma_max_MPa"": 359.5722787670187, ""sigma_von_mises_MPa"": 359.5722787670187, ""safety_factor_yield"": 0.9733787076111217, ""safety_factor_ultimate"": 1.6686492130476371, ""fatigue_margin"": 1.4196900499464442, ""estimated_cycles_to_failure"": 579496527.6314447}",null,Failure
